id,title,summary,source,published_date,url,category,full_text,dedup_flag,dedup_method,score_domain,score_deal,score_recency,deal_type_detected,relevance_score,credibility_score,source_tier,credibility_flag,link_valid,link_status,link_check_note,ai_summary,company,deal_value
ART0094,PepsiCo Acquires Poppi Prebiotic Soda Brand — Sources Confirm,"PepsiCo has agreed to acquire Poppi, the Gen-Z favourite prebiotic soda brand, for approximately $1.95 billion. Poppi's gut-health positioning and viral social media presence make it a strategic fit for PepsiCo's better-for-you beverage ambitions. The deal underscores the booming functional beverages trend.",Financial Times,2024-03-14,https://www.cnbc.com/2024/03/14/pepsico-acquires-poppi-prebiotic-soda-brand.html,,"PepsiCo Acquires Poppi Prebiotic Soda Brand — Sources Confirm. PepsiCo has agreed to acquire Poppi, the Gen-Z favourite prebiotic soda brand, for approximately $1.95 billion. Poppi's gut-health positioning and viral social media presence make it a strategic fit for PepsiCo's better-for-you beverage ambitions. The deal underscores the booming functional beverages trend.",original,exact_title_hash + tfidf_cosine (threshold=0.2),9.0,6.0,0.0,Acquisition,24.0,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)","PepsiCo Acquires Poppi Prebiotic Soda Brand — Sources Confirm PepsiCo has agreed to acquire Poppi, the Gen-Z favourite prebiotic soda brand, for approximately $1.95 billion",Pepsi,$1.95 billion
ART0132,Procter & Gamble Acquires Native Natural Deodorant,"Procter & Gamble has agreed to acquire Native, the natural and aluminum-free deodorant brand, for approximately $100 million. The acquisition marks P&G's entry into the fast-growing natural personal care segment, driven by increasing consumer demand for clean and sustainable products.",Reuters,2017-11-10,https://www.reuters.com/business/retail-consumer/unilever-agrees-sell-dollar-shave-club-private-equity-2023-08-11/,,"Procter & Gamble Acquires Native Natural Deodorant. Procter & Gamble has agreed to acquire Native, the natural and aluminum-free deodorant brand, for approximately $100 million. The acquisition marks P&G's entry into the fast-growing natural personal care segment, driven by increasing consumer demand for clean and sustainable products.",original,exact_title_hash + tfidf_cosine (threshold=0.2),7.5,7.5,0.0,Acquisition,24.0,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"Procter & Gamble Acquires Native Natural Deodorant Procter & Gamble has agreed to acquire Native, the natural and aluminum-free deodorant brand, for approximately $100 million",Procter,$100 million
ART0383,Tiger Global Invests in Mamaearth D2C Beauty Brand,"Tiger Global Management has led a $50 million funding round in Mamaearth, the fast-growing D2C personal care brand from Honasa Consumer. The investment values Mamaearth at over $1 billion, making it India's newest unicorn in the beauty and personal care space.",Financial Times,2021-07-15,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kkr-acquires-stake-in-haldirams-snacks-for-rs-8500-crore/articleshow/103902456.cms,,"Tiger Global Invests in Mamaearth D2C Beauty Brand. Tiger Global Management has led a $50 million funding round in Mamaearth, the fast-growing D2C personal care brand from Honasa Consumer. The investment values Mamaearth at over $1 billion, making it India's newest unicorn in the beauty and personal care space.",original,exact_title_hash + tfidf_cosine (threshold=0.2),7.0,7.5,0.0,Investment,23.5,9,1,Tier 1 – verified outlet,True,403,Trusted domain with HTTP 403 (possible paywall — accepted),"Tiger Global Management has led a $50 million funding round in Mamaearth, the fast-growing D2C personal care brand from Honasa Consumer The investment values Mamaearth at over $1 billion, making it India's newest unicorn in the beauty and personal care space.",Mamaearth,2
ART0344,Unilever Acquires Liquid IV Hydration Brand,"Unilever has acquired Liquid I.V., the electrolyte drink mix brand known for its Cellular Transport Technology hydration multiplier products. The deal adds a high-growth functional hydration brand to Unilever's health & wellness portfolio.",Bloomberg,2020-09-01,https://www.bloomberg.com/news/articles/2024-08-14/mars-kellanova-acquisition-details,,"Unilever Acquires Liquid IV Hydration Brand. Unilever has acquired Liquid I.V., the electrolyte drink mix brand known for its Cellular Transport Technology hydration multiplier products. The deal adds a high-growth functional hydration brand to Unilever's health & wellness portfolio.",original,exact_title_hash + tfidf_cosine (threshold=0.2),6.0,8.5,0.0,Acquisition,23.5,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)","Unilever Acquires Liquid IV Hydration Brand Unilever has acquired Liquid I.V., the electrolyte drink mix brand known for its Cellular Transport Technology hydration multiplier products",Unilever,
ART0436,Unilever and Pepsi Form Global Lipton Iced Tea Joint Venture,Unilever and PepsiCo have announced an extension and restructuring of their global joint venture for Lipton ready-to-drink iced tea products. The partnership will be reorganised to create a standalone entity with a focus on functional and healthy beverages.,Bloomberg,2021-11-23,https://www.bloomberg.com/news/articles/2023-09-11/smuckers-hostess-twinkies,,Unilever and Pepsi Form Global Lipton Iced Tea Joint Venture. Unilever and PepsiCo have announced an extension and restructuring of their global joint venture for Lipton ready-to-drink iced tea products. The partnership will be reorganised to create a standalone entity with a focus on functional and healthy beverages.,original,exact_title_hash + tfidf_cosine (threshold=0.2),9.0,5.0,0.0,Joint Venture,23.0,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)",Unilever and Pepsi Form Global Lipton Iced Tea Joint Venture Unilever and PepsiCo have announced an extension and restructuring of their global joint venture for Lipton ready-to-drink iced tea products,Unilever,
ART0459,Dabur Acquires Badshah Masala for ₹587 Crore,"Dabur India has completed the acquisition of Badshah Masala, one of India's leading spice brands, for ₹587 crore. The deal strengthens Dabur's food and beverage portfolio and gives it a strong foothold in the branded spices and condiments market.",Bloomberg,2022-06-14,https://www.bloomberg.com/news/articles/2023-08-08/campbells-rao-homemade-sauce,,"Dabur Acquires Badshah Masala for ₹587 Crore. Dabur India has completed the acquisition of Badshah Masala, one of India's leading spice brands, for ₹587 crore. The deal strengthens Dabur's food and beverage portfolio and gives it a strong foothold in the branded spices and condiments market.",original,exact_title_hash + tfidf_cosine (threshold=0.2),5.0,8.5,0.0,Acquisition,22.5,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)","Dabur Acquires Badshah Masala for ₹587 Crore Dabur India has completed the acquisition of Badshah Masala, one of India's leading spice brands, for ₹587 crore",Dabur,₹587 Crore
ART0059,Heineken Acquires Distell Wine and Cider Business,Heineken has completed the acquisition of Distell Group's wine and cider assets in Africa as part of a broader transaction. The deal strengthens Heineken's premium portfolio across Africa's growing middle class markets.,Reuters,2023-03-13,https://www.reuters.com/business/coca-cola-acquires-bodyarmor-sports-drink-brand-2021-11-18/,,Heineken Acquires Distell Wine and Cider Business. Heineken has completed the acquisition of Distell Group's wine and cider assets in Africa as part of a broader transaction. The deal strengthens Heineken's premium portfolio across Africa's growing middle class markets.,original,exact_title_hash + tfidf_cosine (threshold=0.2),3.5,9.5,0.0,Acquisition,22.0,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),Heineken Acquires Distell Wine and Cider Business Heineken has completed the acquisition of Distell Group's wine and cider assets in Africa as part of a broader transaction,Heineken,
ART0255,Emami Acquires DermiCool Brand from Reckitt Benckiser,Emami Limited has agreed to acquire the DermiCool prickly heat powder brand from Reckitt Benckiser India. The acquisition strengthens Emami's personal care portfolio and leverages its strong distribution network in rural India.,Financial Times,2019-08-27,https://www.cnbc.com/2023/10/20/keurig-dr-pepper-ghost-energy-drink-deal.html,,Emami Acquires DermiCool Brand from Reckitt Benckiser. Emami Limited has agreed to acquire the DermiCool prickly heat powder brand from Reckitt Benckiser India. The acquisition strengthens Emami's personal care portfolio and leverages its strong distribution network in rural India.,original,exact_title_hash + tfidf_cosine (threshold=0.2),5.5,7.5,0.0,Acquisition,22.0,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)",Emami Acquires DermiCool Brand from Reckitt Benckiser Emami Limited has agreed to acquire the DermiCool prickly heat powder brand from Reckitt Benckiser India,Reckitt,
ART0078,Breaking: ITC Acquires Yoga Bar Health Food Brand for ₹256 Crore,"ITC Limited has completed the acquisition of Yoga Bar, the direct-to-consumer health food and nutrition brand, for approximately ₹256 crore. The acquisition accelerates ITC's expansion in the health and wellness food category in India.",Forbes,2022-01-18,https://economictimes.indiatimes.com/industry/cons-products/fmcg/dabur-acquires-badshah-masala-spices-2022/articleshow/90234567.cms,,"Breaking: ITC Acquires Yoga Bar Health Food Brand for ₹256 Crore. ITC Limited has completed the acquisition of Yoga Bar, the direct-to-consumer health food and nutrition brand, for approximately ₹256 crore. The acquisition accelerates ITC's expansion in the health and wellness food category in India.",original,exact_title_hash + tfidf_cosine (threshold=0.2),7.0,7.5,0.0,Acquisition,21.5,7,2,Tier 2 – verified outlet,True,403,Trusted domain with HTTP 403 (possible paywall — accepted),"Breaking: ITC Acquires Yoga Bar Health Food Brand for ₹256 Crore ITC Limited has completed the acquisition of Yoga Bar, the direct-to-consumer health food and nutrition brand, for approximately ₹256 crore",Yoga Bar,₹256 Crore
ART0113,Mondelez Acquires Clif Bar & Company for $2.9 Billion,"Mondelez International has completed the acquisition of Clif Bar & Company for approximately $2.9 billion, adding the iconic energy bar brand to its snacking portfolio. The deal strengthens Mondelez's presence in the better-for-you snack bars category.",Bloomberg,2022-08-01,https://www.bloomberg.com/news/articles/2024-01-15/unilever-minimalist-acquisition,,"Mondelez Acquires Clif Bar & Company for $2.9 Billion. Mondelez International has completed the acquisition of Clif Bar & Company for approximately $2.9 billion, adding the iconic energy bar brand to its snacking portfolio. The deal strengthens Mondelez's presence in the better-for-you snack bars category.",original,exact_title_hash + tfidf_cosine (threshold=0.2),4.0,8.5,0.0,Acquisition,21.5,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)","Mondelez Acquires Clif Bar & Company for $2.9 Billion Mondelez International has completed the acquisition of Clif Bar & Company for approximately $2.9 billion, adding the iconic energy bar brand to its snacking portfolio",Mondelez,$2.9 Billion
ART0073,Diageo Acquires Aviation American Gin for Up to $610 Million,"Diageo has completed the acquisition of Aviation American Gin, the craft gin brand backed by Ryan Reynolds, for up to $610 million. The deal expands Diageo's North American gin portfolio and leverages Aviation's strong celebrity-driven brand equity.",Reuters,2020-08-10,https://www.reuters.com/business/retail-consumer/danone-sells-horizon-organic-earthbound-farm-2022-07-08/,,"Diageo Acquires Aviation American Gin for Up to $610 Million. Diageo has completed the acquisition of Aviation American Gin, the craft gin brand backed by Ryan Reynolds, for up to $610 million. The deal expands Diageo's North American gin portfolio and leverages Aviation's strong celebrity-driven brand equity.",original,exact_title_hash + tfidf_cosine (threshold=0.2),4.0,8.5,0.0,Acquisition,21.5,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"Diageo Acquires Aviation American Gin for Up to $610 Million Diageo has completed the acquisition of Aviation American Gin, the craft gin brand backed by Ryan Reynolds, for up to $610 million",Diageo,$610 Million
ART0184,General Mills Acquires Pet Food Brand for $1.2 Billion,"General Mills has agreed to acquire a leading premium pet food brand for approximately $1.2 billion, expanding its Blue Buffalo pet platform. The acquisition targets the fast-growing naturals and premium pet food category, which has shown consistent double-digit growth.",Financial Times,2023-09-05,https://www.cnbc.com/2024/03/14/pepsico-acquires-poppi-prebiotic-soda-brand.html,,"General Mills Acquires Pet Food Brand for $1.2 Billion. General Mills has agreed to acquire a leading premium pet food brand for approximately $1.2 billion, expanding its Blue Buffalo pet platform. The acquisition targets the fast-growing naturals and premium pet food category, which has shown consistent double-digit growth.",original,exact_title_hash + tfidf_cosine (threshold=0.2),5.0,7.5,0.0,Acquisition,21.5,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)","General Mills Acquires Pet Food Brand for $1.2 Billion General Mills has agreed to acquire a leading premium pet food brand for approximately $1.2 billion, expanding its Blue Buffalo pet platform",General Mills,$1.2 Billion
ART0130,Nestlé Acquires Orgain Organic Nutrition Brand,"Nestlé Health Science has acquired Orgain, the fast-growing organic and plant-based nutrition brand, to strengthen its consumer nutrition portfolio. Orgain's protein shakes and nutrition powders are popular in the US and complement Nestlé's Boost and Carnation brands.",Bloomberg,2022-04-01,https://www.bloomberg.com/news/articles/2023-08-08/campbells-rao-homemade-sauce,,"Nestlé Acquires Orgain Organic Nutrition Brand. Nestlé Health Science has acquired Orgain, the fast-growing organic and plant-based nutrition brand, to strengthen its consumer nutrition portfolio. Orgain's protein shakes and nutrition powders are popular in the US and complement Nestlé's Boost and Carnation brands.",original,exact_title_hash + tfidf_cosine (threshold=0.2),5.0,7.5,0.0,Acquisition,21.5,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)","Nestlé Acquires Orgain Organic Nutrition Brand Nestlé Health Science has acquired Orgain, the fast-growing organic and plant-based nutrition brand, to strengthen its consumer nutrition portfolio",Nestlé,
ART0425,Carlsberg Acquires Brixton Brewing Company,"Carlsberg UK has completed the acquisition of Brixton Brewing Company, the award-winning South London craft brewery. The deal adds authentic craft credentials to Carlsberg's UK beer portfolio.",Reuters,2020-12-10,https://www.reuters.com/business/coca-cola-acquires-bodyarmor-sports-drink-brand-2021-11-18/,,"Carlsberg Acquires Brixton Brewing Company. Carlsberg UK has completed the acquisition of Brixton Brewing Company, the award-winning South London craft brewery. The deal adds authentic craft credentials to Carlsberg's UK beer portfolio.",original,exact_title_hash + tfidf_cosine (threshold=0.2),3.5,8.5,0.0,Acquisition,21.0,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"Carlsberg Acquires Brixton Brewing Company Carlsberg UK has completed the acquisition of Brixton Brewing Company, the award-winning South London craft brewery",Carlsberg,
ART0032,Unilever Sells Dollar Shave Club to Private Equity,"Unilever has agreed to sell Dollar Shave Club to Nexus Capital Management, a private equity firm, for an undisclosed sum, writing off most of its $1 billion investment. The divestiture reflects Unilever's strategy to streamline its portfolio and exit underperforming D2C brands.",Reuters,2023-08-11,https://www.reuters.com/business/retail-consumer/danone-sells-horizon-organic-earthbound-farm-2022-07-08/,,"Unilever Sells Dollar Shave Club to Private Equity. Unilever has agreed to sell Dollar Shave Club to Nexus Capital Management, a private equity firm, for an undisclosed sum, writing off most of its $1 billion investment. The divestiture reflects Unilever's strategy to streamline its portfolio and exit underperforming D2C brands.",original,exact_title_hash + tfidf_cosine (threshold=0.2),2.0,10.0,0.0,Investment,21.0,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"Unilever Sells Dollar Shave Club to Private Equity Unilever has agreed to sell Dollar Shave Club to Nexus Capital Management, a private equity firm, for an undisclosed sum, writing off most of its $1 billion investment",Unilever,$1 billion
ART0408,Ferrero Acquires Fox's Biscuits from 2 Sisters Food Group,"Ferrero has completed the acquisition of Fox's Biscuits, the iconic UK biscuit brand, from 2 Sisters Food Group for an undisclosed sum. The deal strengthens Ferrero's European sweet biscuit portfolio.",Reuters,2020-09-03,https://www.reuters.com/business/retail-consumer/unilever-agrees-sell-dollar-shave-club-private-equity-2023-08-11/,,"Ferrero Acquires Fox's Biscuits from 2 Sisters Food Group. Ferrero has completed the acquisition of Fox's Biscuits, the iconic UK biscuit brand, from 2 Sisters Food Group for an undisclosed sum. The deal strengthens Ferrero's European sweet biscuit portfolio.",original,exact_title_hash + tfidf_cosine (threshold=0.2),3.5,8.5,0.0,Acquisition,21.0,9,1,Tier 1 – verified outlet,True,401,Trusted domain with HTTP 401 (possible paywall — accepted),"Ferrero Acquires Fox's Biscuits from 2 Sisters Food Group Ferrero has completed the acquisition of Fox's Biscuits, the iconic UK biscuit brand, from 2 Sisters Food Group for an undisclosed sum",Ferrero,2
ART0204,AB InBev Acquires Craft Beer Portfolio from Various Brands,"Anheuser-Busch InBev has completed the acquisition of several craft beer brands to strengthen its premium portfolio. The deal spans brands across the US and Europe, reflecting AB InBev's strategy to capture the growing craft and premium beer segment globally.",Bloomberg,2023-04-22,https://www.bloomberg.com/news/articles/2024-03-14/pepsico-poppi-soda-acquisition,,"AB InBev Acquires Craft Beer Portfolio from Various Brands. Anheuser-Busch InBev has completed the acquisition of several craft beer brands to strengthen its premium portfolio. The deal spans brands across the US and Europe, reflecting AB InBev's strategy to capture the growing craft and premium beer segment globally.",original,exact_title_hash + tfidf_cosine (threshold=0.2),3.5,8.5,0.0,Acquisition,21.0,9,1,Tier 1 – verified outlet,True,404,"Trusted domain — article may have moved (HTTP 404, accepted)",AB InBev Acquires Craft Beer Portfolio from Various Brands Anheuser-Busch InBev has completed the acquisition of several craft beer brands to strengthen its premium portfolio,Ab Inbev,
